learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100000.0,156.359375,1.3988743089915566E-4,100000.0,79.60000000000001,79.60000000000001,-423.0769230769225,79.60000000000001,100000.0,3458256.0
200000.0,312.328125,2.7942538785282524E-4,200000.0,79.2,79.2,-549.9999999999993,79.2,200000.0,3458256.0
300000.0,469.625,4.201515562211474E-4,300000.0,83.89999999999999,83.89999999999999,-265.90909090909065,83.89999999999999,300000.0,3458256.0
400000.0,627.65625,5.615347356069833E-4,400000.0,57.199999999999996,57.199999999999996,-851.1111111111104,57.199999999999996,400000.0,3458256.0
500000.0,784.625,7.019673458610972E-4,500000.0,53.400000000000006,53.400000000000006,-891.4893617021268,53.400000000000006,500000.0,3458256.0
581012.0,910.125,8.14246335066855E-4,581012.0,92.5,92.5,-274.9999999999995,92.5,581012.0,3458256.0
